City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,woodlake,37.4211,-77.6793,11.35,65,0,2.06,US,1699827465
179,hallsberg,59.0657,15.1117,1.5,95,100,1.54,SE,1699827466
180,georgetown,5.4112,100.3354,27.23,94,20,1.03,MY,1699827466
181,guerrero negro,27.9769,-114.0611,26.01,24,0,3.93,MX,1699827466
182,arkhangel'sk,64.5401,40.5433,-3.26,93,28,3.88,RU,1699827348
183,alghero,40.5589,8.3181,20.05,64,0,3.6,IT,1699827467
184,flying fish cove,-10.4217,105.6791,25.82,83,100,4.63,CX,1699827467
185,hamilton,39.1834,-84.5333,13.69,47,0,2.57,US,1699827331
186,swakopmund,-22.6833,14.5333,15.42,83,8,1.69,NA,1699827468
187,sabang,5.8933,95.3214,27.89,73,99,3.61,ID,1699827468
188,cozumel,20.5083,-86.9458,30.04,82,40,4.47,MX,1699827469
189,dzilam gonzalez,21.2833,-88.9333,29.85,63,85,4.4,MX,1699827469
190,hadibu,12.65,54.0333,26.88,81,75,5.59,YE,1699827469
191,novosergiyevka,52.0934,53.6528,2.42,82,99,5.43,RU,1699827470
192,long beach,33.767,-118.1892,30.64,40,0,6.69,US,1699827342
193,kodinsk,58.6881,99.1844,-9.76,92,75,1.54,RU,1699827470
194,hithadhoo,-0.6,73.0833,27.16,80,90,2.5,MV,1699827470
195,rong kwang,18.339,100.3174,22.71,96,100,0.7,TH,1699827471
196,yuzhno-kurilsk,44.0306,145.8556,2.43,80,57,1.91,RU,1699827471
197,jayapura,-2.5333,140.7,28.66,80,72,1.51,ID,1699827472
198,ceres,37.5949,-120.9577,24.89,33,0,3.6,US,1699827472
199,zermatt,46.0213,7.7491,3.51,96,100,3.99,CH,1699827472
200,tchintabaraden,15.8969,5.7985,26.29,14,0,4.04,NE,1699827472
201,vorkuta,67.5,64.0,-10.16,95,40,4.59,RU,1699827473
202,fort bragg,35.139,-79.006,15.08,55,0,2.57,US,1699827473
203,dolenjske toplice,45.757,15.0591,9.53,91,97,1.32,SI,1699827473
204,nizhneangarsk,55.7833,109.55,-6.67,76,85,0.45,RU,1699827474
205,thunder bay,48.4001,-89.3168,5.99,81,75,2.57,CA,1699827215
206,lakeview,42.432,-75.8655,2.46,79,9,0.89,US,1699827475
207,beboto,8.2668,16.939,22.45,95,74,3.26,TD,1699827475
208,la sarre,48.8002,-79.1996,-3.53,92,45,3.21,CA,1699827475
209,kenai,60.5544,-151.2583,-2.73,94,0,3.09,US,1699827476
210,port-vila,-17.7338,168.3219,24.78,78,100,7.2,VU,1699827476
211,hovd,48.0056,91.6419,-4.98,90,97,0.43,MN,1699827476
212,punta del este,-34.9667,-54.95,16.06,71,40,9.77,UY,1699827477
213,tionk essil,12.7856,-16.5217,24.97,58,51,1.54,SN,1699827477
214,ulsteinvik,62.3432,5.8487,3.2,75,0,2.68,NO,1699827477
215,ebaye,8.7748,167.7392,29.01,84,40,7.61,MH,1699827477
216,hobyo,5.3505,48.5268,27.1,82,100,4.97,SO,1699827478
217,lepsy,46.235,78.9456,5.11,72,100,5.98,KZ,1699827478
218,jutai,-5.1833,-68.9,30.27,67,50,0.92,BR,1699827478
219,grand falls-windsor,48.9332,-55.6649,-1.94,75,25,2.68,CA,1699827479
220,'ain el melh,34.8415,4.1638,13.14,57,0,2.66,DZ,1699827479
221,fale old settlement,-9.3852,-171.2468,28.76,72,59,0.7,TK,1699827479
222,santana,-0.0583,-51.1817,31.1,66,0,4.63,BR,1699827480
223,codrington,-38.2667,141.9667,14.0,59,25,4.19,AU,1699827480
224,jinchang,38.4953,102.1739,-2.46,53,0,2.25,CN,1699827480
225,dabou,5.3256,-4.3769,26.15,89,50,3.35,CI,1699827480
226,luoyang,34.6836,112.4536,4.75,61,100,0.84,CN,1699827481
227,kayangel,8.0823,134.7173,29.27,74,91,8.27,PW,1699827481
228,gadzhiyevo,69.2551,33.3362,-8.8,97,92,4.03,RU,1699827266
229,arroyito,-31.4202,-63.05,22.28,29,0,7.13,AR,1699827483
230,rio grande,-32.035,-52.0986,17.06,89,100,4.71,BR,1699827413
231,chonchi,-42.6128,-73.8092,10.56,59,94,1.0,CL,1699827484
232,xixiang,35.1628,112.865,4.52,60,100,1.3,CN,1699827484
233,port alfred,-33.5906,26.891,14.54,89,16,0.89,ZA,1699827485
234,urucara,-2.5364,-57.76,33.06,41,95,1.67,BR,1699827485
